"","uid_max","visitor_access_level","total_days","other.web.sites","search.engines","social.networks","typed_bookmarked","Purchase.IDs","product","last_touch_referrer"
"2608","5999577845793183936_2586482103455616124","anonymous",1,0,0,0,1,"D6064910","Digital Only - Annual","typed/bookmarked"
"2609","6002775649177818527_7191340252733844184","anonymous",4,2,0,0,6,"D6270824","All Access","typed/bookmarked"
"2610","600287","subscribed",26,1,5,0,33,"D6270079","All Access","typed/bookmarked"
"2611","6006627911964154150_6641384414258514433","anonymous",1,1,0,0,0,"D6296308","Premium (Digital + Print)","other web sites"
"2612","600940","subscribed",17,0,0,0,22,"D6225344","Digital Only - Annual","typed/bookmarked"
"2613","600942","anonymous",1,0,1,0,0,"D6274940","Digital Only - Annual","search engines"
"2614","6011209721911740801_391694323650447956","anonymous",1,0,0,0,1,"D6066933","Premium (Digital + Print)","typed/bookmarked"
"2615","601425","anonymous",1,0,1,0,0,"D6089037","Digital Only - Monthly","search engines"
"2616","601453","subscribed",5,0,1,0,5,"D5941350","Premium (Digital + Print)","search engines"
"2617","601728","subscribed",4,0,0,0,6,"D5937001","Digital Only - Annual","typed/bookmarked"
"2618","602265","subscribed",10,2,0,3,8,"D6056618","Digital Only - Annual","typed/bookmarked"
"2619","6024867228385222307_1726371058881345024","anonymous",1,1,0,0,0,"D6040234","Premium (Digital + Print)","other web sites"
"2620","602717","subscribed",1,0,0,0,1,"D5940004","Premium (Digital + Print)","typed/bookmarked"
"2621","6032275440842226949_1604864250364347834","anonymous",1,0,0,0,1,"D6001398","Digital Only - Monthly","typed/bookmarked"
"2622","6036069727661355312_4376220047486412742","anonymous",2,0,1,0,1,"D6283735","Digital Only - Annual","search engines"
"2623","603764","subscribed",5,0,4,0,11,"D5936440","Digital Only - Annual","search engines"
"2624","604477","subscribed",2,0,1,0,2,"D6089227","Premium (Digital + Print)","typed/bookmarked"
"2625","6046994538341688147_7926235281759857183","anonymous",1,0,0,0,1,"D6258800","Premium (Digital + Print)","typed/bookmarked"
"2626","605610399982767191_8172152590371882582","anonymous",2,0,2,0,0,"D6226808","Digital Only - Annual","search engines"
"2627","605708","subscribed",16,0,1,0,17,"D6095276","Premium (Digital + Print)","typed/bookmarked"
"2628","6062940745701620162_3022411768196949250","anonymous",1,1,0,0,0,"D6294618","Digital Only - Monthly","other web sites"
